trial,Rhodamine,replicate,condition,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
5,110,7,vial,16538.678,35.348,584602.834,560109.0519,671701.1948,1,4789.544,1.481,7094.701
5,110,7,vial,21044.213,31.039,653184.028,614841.4719,NA,2,13458.701,1.822,24515.736
5,110,7,vial,17636.109,50.12,883925.883,840153.0605,NA,3,15965.146,2.482,39628.856
5,110,6,vial,13654.474,14.574,199004.579,-29939.98656,46319.20446,1,21496.421,16.767,360426.267
5,110,6,vial,11192.146,11.575,129552.058,107380.4168,NA,2,15303.378,1.981,30311.718
5,110,6,vial,12341.968,18.177,224344.767,61517.18318,NA,3,17172.872,13.193,226556.174
5,110,6,vial,27639.831,42.793,1182796.723,1140728.9,1259171.101,1,10058.869,1.522,15308.893
5,110,6,vial,70059.141,22.48,1574954.751,1373744.898,NA,2,2139.716,2.872,6146.168
5,110,6,vial,52307.222,26.222,1371576.991,1263039.505,NA,3,8051.507,2.075,16709.635
5,110,5,vial,10483.503,73.796,773642.295,665368.676,325978.5693,1,10453.172,10.328,107959.129
5,110,5,vial,12667.337,38.745,490794.505,409786.8849,NA,2,10442.143,6.395,66780.634
5,110,5,vial,7290.474,30.566,222839.246,-97219.85307,NA,3,17807.066,43.901,781751.706
5,110,5,vial,2349.275,91.014,213817.146,174626.5405,366402.5773,1,20272.151,16.682,338171.57
5,110,5,vial,16428.383,72.162,1185509.971,992000.0476,NA,2,20316.269,11.779,239308.989
5,110,5,vial,6954.076,91.689,637613.185,-67418.85618,NA,3,11376.89,101.384,1153439.053
5,110,10,vial,23203.23,91.358,2119801.891,1229401.143,1250273.82,1,13971.571,38.374,536139.379
5,110,10,vial,14421.021,87.079,1255773.157,714782.9752,NA,2,27273.102,37.514,1023117.69
5,110,10,vial,35134.35,53.255,1871073.741,1806637.343,NA,3,22938.523,1.834,42063.61
5,110,3,virgin,10373.209,152.825,1585283.842,1568396.258,1068278.369,1,9708.684,1.628,15805.219
5,110,3,virgin,11898.032,65.678,781437.367,733964.2193,NA,2,11098.396,3.99,44286.046
5,110,3,virgin,10869.535,84.907,922898.486,902474.6297,NA,3,15659.078,1.879,29426.604
5,110,2,virgin,12821.749,55.343,709591.453,572296.1647,943180.9458,1,9915.486,10.708,106175.114
5,110,2,virgin,12474.321,80.845,1008489.867,899713.7879,NA,2,15496.394,8.72,135121.936
5,110,2,virgin,13064.397,114.677,1498184.183,1357532.885,NA,3,7307.018,10.766,78667.636
5,110,1,virgin,9292.322,47.34,439899.053,279374.1905,69449.2993,1,27620.53,17.275,477151.061
5,110,1,virgin,6540.471,47.028,307586.873,269351.2795,NA,2,18444.017,5.846,107815.746
5,110,1,virgin,11250.051,40.432,454866.033,-340377.5721,NA,3,15388.857,70.688,1087799.969
5,110,3,virgin,28533.218,62.924,1795422.663,1718554.174,3010309.046,1,738.974,2.694,1990.818
5,110,3,virgin,53360.536,81.766,4363097.908,4287646.11,NA,2,879.6,1.414,1243.572
5,110,3,virgin,50691.406,62.571,3171833.315,3024726.855,NA,3,981.622,2.902,2848.359
5,110,2,virgin,29393.516,216.906,6375627.253,5953624.544,9514323.429,1,2321.702,14.357,33333.791
5,110,2,virgin,86713.628,211.753,18361897.59,18091958.07,NA,2,5073.552,3.113,15794.189
5,110,2,virgin,27187.623,176.65,4802704.68,4497387.674,NA,3,5095.611,11.23,57223.605
5,110,1,virgin,22919.222,240.427,5510399.066,5475447.252,6794718.725,1,22174.733,1.525,33827.359
5,110,1,virgin,53636.273,199.506,10700767.27,10613876.51,NA,2,9708.684,1.62,15728.012
5,110,1,virgin,22632.456,204.502,4628389.552,4294832.415,NA,3,5765.651,14.738,84973.731
5,110,6,mated,16720.664,16.927,283035.291,258489.3562,229695.5075,1,9758.316,1.468,14330.028
5,110,6,mated,9739.015,15.357,149565.016,118146.9536,NA,2,9041.401,3.226,29164.654
5,110,6,mated,12278.548,27.176,333679.822,312450.2125,NA,3,18457.804,1.729,31922.02
5,110,5,mated,7797.829,196.547,1532642.979,1522178.292,1774574.674,1,16742.723,1.342,22461.499
5,110,5,mated,12634.248,80.476,1016753.691,982780.1981,NA,2,25742.764,2.689,69215.387
5,110,5,mated,15154.48,187.793,2845907.205,2818765.531,NA,3,6761.06,1.791,12110.349
5,110,4,mated,5922.821,44.493,263521.415,253304.5488,193285.0603,1,15038.671,1.725,25946.809
5,110,4,mated,10775.784,27.043,291409.41,275148.7519,NA,2,20371.416,1.509,30747.382
5,110,4,mated,4058.842,14.152,57441.437,51401.8801,NA,3,14638.853,1.488,21785.944
5,110,3,mated,11867.701,49.11,582821.576,533796.1032,438107.9752,1,15364.04,4.131,63469.038
5,110,3,mated,11068.065,31.101,344226.745,318482.4258,NA,2,14426.536,2.326,33559.895
5,110,3,mated,11159.058,44.773,499629.104,462045.3967,NA,3,23305.253,3.368,78491.165
5,110,2,mated,11470.64,127.917,1467285.145,1453738.319,735755.5782,1,13522.12,1.181,15967.903
5,110,2,mated,6110.322,71.187,434977.156,372004.1775,NA,2,10152.62,10.306,104633.746
5,110,2,mated,4875.022,81.539,397504.56,381524.2379,NA,3,20021.23,3.278,65636.327
5,110,2,mated,20567.189,34.596,711540.91,670385.9648,1133392.784,1,6499.11,2.001,13006.493
5,110,2,mated,43607.734,37.988,1656578.283,1567923.76,NA,2,9408.131,2.033,19127.844
5,110,2,mated,49263.091,25.153,1239113.155,1161868.628,NA,3,5382.377,1.568,8437.538
5,110,1,mated,6529.441,38.75,253015.853,245278.4654,162228.5448,1,19966.083,1.185,23658.196
5,110,1,mated,7130.547,18.425,131380.191,122053.4355,NA,2,10428.356,1.308,13640.687
5,110,1,mated,6678.339,27.98,186858.384,119353.7334,NA,3,14798.78,10.108,149581.561
5,110,1,mated,67114.275,155.988,10469030,9636611.651,10027796.05,1,6915.473,12.403,85770.609
5,110,1,mated,53608.699,196.234,10519856.52,10385888.38,NA,2,17161.843,2.499,42885.305
5,110,1,mated,51298.027,199.773,10247972.02,10060888.11,NA,3,2729.792,3.647,9956.847
